V0_LATITUDE,V1_LATITUDE,V2_LATITUDE,V3_LATITUDE,V0_LONGITUDE,V1_LONGITUDE,V2_LONGITUDE,V3_LONGITUDE,mg/si,al/si,ca/si
-44.732,-49.987,-50.004,-44.747,-125.805,-126.028,-124.917,-124.817,0.402,0.992,0.315
8.035,2.383,2.375,8.026,-133.289,-133.347,-132.701,-132.635,0.355,0.991,0.411
8.538,2.888,2.879,8.529,-130.09,-130.154,-129.512,-129.441,0.416,0.879,0.411
36.767,31.114,31.102,36.754,-122.313,-122.396,-121.639,-121.496,0.286,1.109,0.32
-25.998,-31.655,-31.666,-26.008,-134.764,-134.87,-134.085,-134.028,0.495,1.265,0.46
-41.092,-46.757,-46.77,-41.105,-134.055,-134.241,-133.225,-133.145,0.416,1.619,0.445
-69.508,-75.19,-75.237,-69.542,-126.773,-128.168,-125.071,-124.558,0.225,0.796,0.345
-60.09,-65.354,-65.378,-60.11,-134.945,-135.429,-133.649,-133.48,0.554,1.064,0.298
59.071,53.395,53.378,59.051,-131.563,-131.691,-130.49,-130.145,0.343,0.724,0.216
65.67,60.4,60.38,65.645,-131.357,-131.532,-130.045,-129.545,0.5,1.405,0.535
-60.386,-66.066,-66.095,-60.409,-126.688,-127.285,-125.41,-125.179,0.557,1.174,0.391
82.767,77.494,77.44,82.674,-119.909,-121.539,-118.05,-113.85,0.564,1.315,0.682
41.818,36.578,36.566,41.804,-123.298,-123.382,-122.563,-122.406,0.325,0.633,0.327
-19.162,-24.816,-24.826,-19.171,-132.551,-132.645,-131.919,-131.859,0.208,0.813,0.293
-19.417,-25.071,-25.082,-19.427,-125.173,-125.278,-124.55,-124.482,0.396,1.063,0.45
-3.052,-8.703,-8.712,-3.061,-131.28,-131.351,-130.699,-130.637,0.297,0.597,0.196
-59.919,-65.188,-65.215,-59.941,-127.69,-128.213,-126.411,-126.209,0.3,0.713,0.277
-20.588,-25.827,-25.837,-20.597,-134.678,-134.762,-134.028,-133.978,0.2,0.694,0.269
-33.301,-38.962,-38.974,-33.312,-132.812,-132.954,-132.077,-132.007,0.31,0.599,0.259
31.703,26.046,26.035,31.693,-131.986,-132.048,-131.31,-131.199,0.379,0.751,0.285
22.059,16.826,16.816,22.049,-126.755,-126.817,-126.147,-126.06,0.331,0.905,0.507
13.977,8.33,8.32,13.967,-124.726,-124.794,-124.154,-124.072,0.269,0.713,0.296
65.547,60.278,60.258,65.522,-130.251,-130.435,-128.962,-128.458,0.568,1.39,0.475
78.183,72.496,72.459,78.128,-125.841,-126.552,-124.047,-122.098,0.351,1.131,0.34
-59.491,-65.168,-65.193,-59.512,-132.847,-133.374,-131.597,-131.404,0.443,1.025,0.42
-82.04,-87.542,-87.799,-82.115,-142.059,-161.594,-142.667,-136.339,0.293,0.907,0.414
38.219,32.974,32.963,38.207,-130.834,-130.9,-130.101,-129.971,0.336,0.781,0.326
81.747,76.46,76.415,81.675,-130.868,-131.816,-128.475,-125.352,0.34,1.123,0.575
58.035,52.357,52.343,58.017,-133.807,-133.911,-132.734,-132.425,0.538,1.043,0.27
10.277,5.047,5.038,10.268,-125.828,-125.892,-125.254,-125.183,0.477,0.82,0.283
53.425,47.758,47.743,53.407,-127.357,-127.474,-126.448,-126.181,0.405,0.782,0.328
-74.043,-79.311,-79.378,-74.088,-126.78,-129.096,-124.747,-123.9,0.408,1.037,0.425
-38.111,-43.361,-43.376,-38.125,-125.587,-125.756,-124.797,-124.714,0.327,0.896,0.332
53.615,48.364,48.349,53.597,-125.204,-125.32,-124.289,-124.032,0.398,1.284,0.304
38.734,33.493,33.482,38.721,-126.545,-126.619,-125.828,-125.69,0.435,1.321,0.443
24.305,18.654,18.644,24.295,-127.793,-127.858,-127.178,-127.081,0.496,0.624,0.367
21.742,16.094,16.083,21.731,-122.513,-122.584,-121.924,-121.827,0.406,0.939,0.412
-48.036,-53.708,-53.726,-48.052,-125.938,-126.221,-124.998,-124.876,0.249,0.576,0.43
7.292,2.063,2.053,7.282,-124.805,-124.87,-124.235,-124.166,0.34,0.797,0.394
59.075,53.405,53.388,59.055,-126.132,-126.286,-125.113,-124.748,0.404,1.042,0.375
-15.371,-20.606,-20.617,-15.381,-124.052,-124.142,-123.444,-123.382,0.297,0.683,0.368
53.825,48.577,48.561,53.807,-121.988,-122.111,-121.086,-120.821,0.401,1.124,0.393
62.984,57.302,57.285,62.963,-133.692,-133.826,-132.471,-132.052,0.208,0.659,0.248
-20.411,-26.066,-26.076,-20.421,-132.57,-132.667,-131.931,-131.871,0.32,0.884,0.437
-80.503,-85.698,-85.861,-80.575,-134.996,-144.359,-133.455,-130.129,0.258,0.856,0.386
-62.969,-68.646,-68.674,-62.991,-135.186,-135.852,-133.788,-133.563,0.432,1.057,0.509
52.74,47.07,47.056,52.723,-130.609,-130.713,-129.689,-129.438,0.245,0.856,0.268
46.04,40.372,40.361,46.027,-133.995,-134.064,-133.155,-132.983,0.423,0.784,0.43
-60.33,-66.009,-66.037,-60.352,-127.725,-128.315,-126.449,-126.222,0.3,0.643,0.272
-12.228,-17.463,-17.473,-12.237,-131.395,-131.471,-130.789,-130.733,0.449,0.779,0.47
75.885,70.614,70.58,75.838,-122.882,-123.425,-121.199,-119.801,0.323,0.872,0.267
57.005,51.744,51.728,56.987,-131.612,-131.721,-130.571,-130.284,0.331,0.575,0.116
-46.898,-52.568,-52.585,-46.913,-129.031,-129.292,-128.112,-128,0.397,0.721,0.359
9.695,4.046,4.037,9.686,-127.955,-128.021,-127.382,-127.307,0.335,0.919,0.261
60.612,55.356,55.338,60.59,-123.928,-124.092,-122.863,-122.483,0.522,0.934,0.519
47.901,42.233,42.221,47.886,-131.782,-131.865,-130.933,-130.736,0.451,0.85,0.4
-28.147,-33.389,-33.401,-28.158,-130.601,-130.716,-129.91,-129.846,0.315,0.702,0.4
27.35,22.108,22.099,27.34,-134.187,-134.235,-133.521,-133.434,0.238,0.843,0.397
